path,sha256,size_bytes,kind,status,antenna,port,point_count,declared_frequency_unit,raw_frequency_min,raw_frequency_max,source_sha256_at_17f0a758,provenance_note,validation_flags
Results/Corrupt_Artifacts/ANT1481H_P2.jpg.nul,c45def2ddb7d711e9ba501bac07e065ae54816177a29535b4120b2d8715d484b,47411,corrupt_smith_chart_bytes,quarantined_corrupt,ANT1481H,P2,,,,,c45def2ddb7d711e9ba501bac07e065ae54816177a29535b4120b2d8715d484b,Moved from Results/Smith_Charts/ANT1481H_P2.jpg and renamed .nul; all legacy bytes preserved from 17f0a758.,all_NUL_bytes;bytes_preserved_from_17f0a758;excluded_from_canonical_dataset;invalid_original_format
Results/Corrupt_Artifacts/ANT1481H_P2.s1p.nul,913127fb4076378ce8f372101db3c72e51b8477660c14f272251956233b4a089,8167,corrupt_touchstone_bytes,quarantined_corrupt,ANT1481H,P2,,,,,913127fb4076378ce8f372101db3c72e51b8477660c14f272251956233b4a089,Moved from Results/Touchstone_Files/ANT1481H_P2.s1p and renamed .nul; all legacy bytes preserved from 17f0a758.,all_NUL_bytes;bytes_preserved_from_17f0a758;excluded_from_canonical_dataset;invalid_original_format
Results/S11_Plots/S11_ANT1352H_P1.png,a96b03beb5c77e7630e5516ce993c4831c28252e53de9d78620905db510020e8,29505,s11_plot_png,reference_plot_valid,ANT1352H,P1,,,,,a96b03beb5c77e7630e5516ce993c4831c28252e53de9d78620905db510020e8,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1352H_P2.png,7b1cd758f7095ef9550e84d16b31c9de0b59ea4d4b308ea0c6a6b4f8276d4e54,28657,s11_plot_png,reference_plot_valid,ANT1352H,P2,,,,,7b1cd758f7095ef9550e84d16b31c9de0b59ea4d4b308ea0c6a6b4f8276d4e54,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1353H_P1.png,bda8bd3c0f97d15a3b89df2beb453c7778d57b47d59fce95f6c9a9420dd40675,29485,s11_plot_png,reference_plot_valid,ANT1353H,P1,,,,,bda8bd3c0f97d15a3b89df2beb453c7778d57b47d59fce95f6c9a9420dd40675,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1353H_P2.png,3474d7e1fe425b04466170892da84dea681b5dc0f31812629d3ab8fb10e1cbfb,28671,s11_plot_png,reference_plot_valid,ANT1353H,P2,,,,,3474d7e1fe425b04466170892da84dea681b5dc0f31812629d3ab8fb10e1cbfb,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1354H_P1.png,9ed7b0315c41ec3823f9aae54c616948fb319c729f8b5a4eaafbd38df8dcb186,29477,s11_plot_png,reference_plot_valid,ANT1354H,P1,,,,,9ed7b0315c41ec3823f9aae54c616948fb319c729f8b5a4eaafbd38df8dcb186,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1354H_P2.png,91ba54e3a368d06c0e9534e8f07a6c9e093bea26dc5633eeb121a51bd5a496e7,28583,s11_plot_png,reference_plot_valid,ANT1354H,P2,,,,,91ba54e3a368d06c0e9534e8f07a6c9e093bea26dc5633eeb121a51bd5a496e7,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1355H_P1.png,a89b2b6bd4687262917420222c958e8cddbd213d6dd5dba5579eebeafb86cf1e,29911,s11_plot_png,reference_plot_valid,ANT1355H,P1,,,,,a89b2b6bd4687262917420222c958e8cddbd213d6dd5dba5579eebeafb86cf1e,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1355H_P2.png,53c9ca7918be59f456f7bf27a944e45b8deb540fc01c584e21dc480ca100af82,29699,s11_plot_png,reference_plot_valid,ANT1355H,P2,,,,,53c9ca7918be59f456f7bf27a944e45b8deb540fc01c584e21dc480ca100af82,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1356H_P1.png,a8e2d6e9e5df997c440644dfa313e089901445fd711fdee079b680671824d0fa,29560,s11_plot_png,reference_plot_valid,ANT1356H,P1,,,,,a8e2d6e9e5df997c440644dfa313e089901445fd711fdee079b680671824d0fa,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1356H_P2.png,41eb9c61f87d3a8f332687233f7ed89ef4da1a5386fd58ee1f1220b419ae1ec2,28665,s11_plot_png,reference_plot_valid,ANT1356H,P2,,,,,41eb9c61f87d3a8f332687233f7ed89ef4da1a5386fd58ee1f1220b419ae1ec2,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
